monthly_cash_flow_sar,registration_age_months,defaulted
123687.50,129,1
-15175.50,33,1
-21416.63,239,0
32984.70,150,0
149031.33,183,0
208054.91,64,0
176513.62,23,0
249739.54,79,0
20563.45,67,1
232958.09,240,0
-38778.34,17,1
116302.88,118,0
50217.43,87,1
207668.02,107,0
30195.02,208,0
-33008.20,220,0
164886.28,71,0
-32377.35,158,0
18498.99,5,1
69738.94,51,0
236514.45,111,0
174334.12,136,0
-19858.24,73,0
34492.26,205,0
147900.80,59,0
-21782.48,27,1
21417.87,167,0
-43143.13,96,1
132161.86,232,0
66217.06,51,0
189759.00,75,0
247265.81,136,0
-2168.51,153,0
161372.50,15,0
5938.24,209,0
35248.30,37,1
158512.84,1,0
92645.31,125,0
197177.00,66,0
116614.57,112,0
202701.75,229,0
43281.60,188,0
-44979.51,237,0
30852.74,186,0
188154.95,71,0
182627.98,220,0
61480.93,139,0
190992.92,52,0
68914.74,141,0
166995.49,218,0
218066.11,112,0
92627.27,129,0
119538.38,73,0
118152.80,196,0
97287.56,44,0
-21662.22,191,1
87527.40,27,1
85679.83,162,0
206042.13,47,0
212351.03,142,0
-1551.11,78,1
155967.61,189,0
149741.79,80,1
83083.99,196,0
219066.32,97,0
127117.34,106,0
113183.84,68,1
228100.90,234,0
-15229.51,44,1
-8904.57,85,0
162296.78,193,0
-28300.63,28,1
15124.04,146,0
243452.36,222,0
140324.15,65,0
135835.72,58,0
-22703.27,59,1
-2684.92,12,1
234152.68,155,0
-5578.96,140,0
66326.75,92,0
130243.76,114,0
41656.72,75,1
229476.54,87,0
204360.38,238,0
166797.35,155,0
190067.04,163,0
109499.99,193,0
53820.38,59,1
219615.63,78,0
126584.02,100,0
60042.87,44,0
21866.90,166,0
132320.62,225,0
166789.48,97,0
203503.63,137,0
17468.45,183,0
100526.19,57,1
236277.55,128,0
164254.37,20,0
78031.48,82,0
-2282.38,52,0
179730.42,58,0
-29181.68,193,1
72139.40,158,0
96663.45,164,0
81240.76,143,0
-6164.77,229,1
37668.70,17,1
-4013.51,111,0
209735.17,239,0
77819.72,168,1
176990.11,201,0
-36034.21,58,1
47145.62,101,1
84166.50,94,1
-34820.90,50,1
234030.88,225,0
92058.00,188,0
-33381.65,147,1
-26574.00,216,0
6784.47,55,0
11795.23,140,1
156864.13,185,0
81194.35,112,0
139230.56,47,0
109597.96,163,0
-10812.12,48,1
18206.72,70,0
-12997.12,54,1
200944.83,194,0
225699.35,3,1
217632.44,135,0
230939.83,80,0
-8092.58,164,0
79725.96,71,0
101893.34,177,0
46348.41,82,1
11897.80,172,0
183628.42,135,0
124234.11,98,0
13410.37,145,0
93338.71,19,0
26772.52,57,1
78728.79,6,1
139730.60,185,0
238268.40,142,0
-35513.10,224,0
-48756.24,99,1
-28748.47,195,0
185360.67,185,0
222176.90,44,0
70264.51,82,1
-21324.08,184,0
219010.81,223,0
230411.64,235,0
84771.35,125,0
-7565.00,137,0
-5844.28,232,0
29453.19,45,0
26988.10,226,0
24427.13,111,0
-34162.22,45,1
9824.21,200,0
204516.04,189,0
25331.29,10,1
126365.17,28,0
120681.26,149,0
201644.94,101,0
-47439.17,209,0
-20515.53,179,0
-6163.38,197,0
-8966.91,147,0
109354.01,49,0
174988.07,7,0
236684.79,125,0
159510.73,232,0
108919.47,109,0
113050.35,177,1
247238.21,66,0
-31458.04,219,1
234713.06,124,0
-9753.77,100,1
100620.16,166,0
188823.07,217,0
55408.94,102,0
-32361.44,10,1
-1114.66,51,1
69982.77,163,0
185918.29,1,0
211433.79,32,0
215578.03,166,0
47641.90,124,0
-34287.58,9,1
149342.71,178,0
45379.07,23,0
131041.96,140,0
145615.37,141,0
161695.15,133,0
135561.21,93,0
142196.30,207,0
188054.75,37,0
130987.89,178,0
-47161.90,135,0
23253.73,8,0
-7213.90,218,0
12896.26,232,0
146143.84,8,0
222885.31,192,0
27680.58,199,1
229743.20,160,0
110438.10,203,0
9047.96,66,1
247571.66,67,0
63133.86,109,0
44148.65,107,0
81879.10,234,0
-19833.62,106,0
-9389.88,46,1
-34396.47,42,1
-25680.83,105,1
77022.70,230,0
237513.59,213,0
52988.52,45,0
105532.30,156,0
50881.74,230,0
185869.45,117,0
136260.08,153,1
-2393.21,228,0
118731.27,132,0
81004.29,22,0
152698.69,102,0
151337.85,87,0
111591.54,112,0
173025.18,156,0
6395.05,77,1
171071.37,151,0
244310.96,117,0
173300.38,159,0
180622.83,175,0
-6734.51,16,0
502.31,4,0
145769.87,205,0
102274.94,16,0
106091.71,175,0
196628.32,141,0
173334.96,55,0
187579.68,117,0
176109.65,157,0
-48818.00,232,1
12338.95,239,0
75108.93,156,1
104289.81,15,0
6537.84,8,0
-30294.65,208,1
242240.39,135,0
11334.66,157,0
214006.52,164,0
35008.15,183,0
94847.22,73,0
-712.80,213,0
9183.27,45,1
220032.26,207,0
25783.32,69,0
168443.76,33,1
58845.17,50,0
151345.86,75,1
234210.59,168,0
161556.63,50,0
-31225.72,60,0
45674.37,227,1
106810.59,132,0
118294.78,211,0
178061.49,91,0
209245.03,131,1
90099.55,148,0
151854.87,139,0
27467.55,74,1
-21902.75,155,0
4051.91,116,0
131510.32,199,0
54025.92,32,1
235055.14,207,0
32506.35,225,0
237247.80,103,0
101276.84,219,0
120130.37,73,0
203833.12,52,0
36865.16,134,0
-22500.66,48,0
18351.64,70,1
19532.53,231,0
-16237.54,152,0
-30228.75,171,1
102127.97,109,0
-28201.81,207,0
164274.02,238,0
-17468.04,95,0
157262.30,138,0
186974.91,79,0
182908.85,133,0
51752.67,92,0
-4838.20,146,1
191581.87,175,0
158996.21,168,0
222461.71,45,0
63817.29,16,1
233850.42,235,0
174209.96,236,0
58254.10,115,0
81102.45,10,0
-48406.70,103,1
181178.86,27,0
232681.69,167,0
63013.49,28,1
138488.55,92,0
219322.24,198,0
232674.22,223,0
30797.59,192,1
102970.18,40,0
26898.77,158,0
185730.21,184,0
55157.91,77,1
79521.67,205,0
218345.36,31,0
111377.74,67,0
-21660.54,81,1
62894.87,199,0
-11123.70,61,0
159468.99,186,0
49086.42,118,1
225339.72,58,0
154131.80,169,0
194266.01,233,0
45987.71,167,0
108608.58,78,0
120896.90,57,0
26955.15,141,0
116884.98,173,0
191433.76,229,0
163257.43,4,0
172665.79,16,0
-16208.34,32,1
241536.04,136,0
202101.49,171,0
40019.14,132,0
36731.59,168,0
88666.87,223,0
-48362.07,114,0
70799.66,15,1
120195.89,112,0
100302.23,135,1
3845.11,230,1
182431.64,2,0
86673.98,14,0
89706.96,124,0
194494.11,48,0
35829.62,180,0
201940.24,155,0
146213.97,216,0
17851.45,199,1
-22271.46,87,0
193946.19,108,1
78822.20,238,0
-34655.30,187,1
104135.11,237,0
32423.23,64,1
-34796.45,6,1
18033.55,140,0
139256.50,97,0
221845.06,109,0
46495.51,207,0
221544.77,68,0
78781.12,195,0
34738.15,75,1
105205.16,213,0
233385.83,72,0
110515.08,34,0
92435.50,96,0
-19569.52,18,1
178457.63,98,0
60680.55,202,0
126492.34,29,0
-47696.75,147,1
36920.62,22,1
208774.81,150,0
40205.45,208,0
17722.08,88,0
-19214.10,221,1
83529.55,99,0
226077.34,3,0
33198.51,60,0
190721.30,223,0
114148.26,147,0
193241.34,202,0
113482.73,140,0
-3185.08,158,0
131014.27,208,0
167173.66,31,1
218451.86,225,0
224981.71,198,0
-35088.66,151,1
29325.04,94,1
45949.77,226,0
-46533.64,135,0
48365.54,24,1
175945.88,114,0
118515.47,191,0
179290.14,177,0
14508.51,38,1
25796.82,165,0
119740.18,198,0
30397.21,100,1
-7679.22,124,0
104111.08,229,0
210036.62,108,0
187912.57,185,0
123463.39,50,0
210514.94,137,0
135955.75,237,0
42770.22,208,0
172594.05,142,0
-16030.98,10,1
88648.62,143,1
103397.52,61,0
80235.59,146,0
138799.89,182,0
46428.95,203,0
-13757.08,179,1
-39162.19,67,0
77339.48,81,0
-20876.07,44,1
-2497.68,205,0
163317.10,82,0
141013.55,38,0
172362.99,150,0
158453.81,49,1
68551.80,12,1
23222.38,96,0
165059.30,186,0
10307.59,79,1
248031.82,216,0
105028.41,15,0
235463.53,96,0
132217.81,211,0
131507.36,234,0
176803.60,9,1
68552.75,175,1
13327.78,170,0
80546.37,185,0
-8748.21,162,1
-31670.25,195,1
-15996.27,68,1
88313.87,146,0
143748.52,160,0
23978.52,112,0
39966.09,75,1
49090.38,224,0
105766.86,200,0
24047.86,59,1
7432.83,31,0
155219.21,35,0
229562.52,198,0
187707.66,163,0
180751.27,14,0
146756.10,239,0
-28491.35,115,1
47736.85,179,1
131677.00,74,0
116057.97,74,0
19033.15,53,1
156637.22,97,0
175074.60,117,0
199538.55,205,0
112425.57,127,1
127138.74,230,0
166364.54,231,0
122692.10,129,0
68344.63,72,0
52565.36,214,0
85268.41,208,0
10425.64,240,0
89617.13,226,0
96761.11,176,0
119289.87,132,0
228485.16,168,0
74685.13,200,0
-39005.87,163,1
28071.36,9,1
215711.32,158,0
127026.57,229,0
173358.90,234,0
-11220.84,43,0
-40914.36,152,0
2126.76,124,0
147254.14,138,0
231417.55,223,0
144915.04,6,1
173814.83,132,0
156207.63,184,0
183025.32,5,0
199995.25,164,0
184913.19,168,0
84193.18,64,0
64696.01,129,0
25318.04,169,1
78557.05,52,0
126838.76,9,0
104383.45,170,0
85883.22,98,0
-15775.75,47,1
172333.56,19,0
161724.51,193,0
123322.54,8,0
189652.25,73,0
209378.54,124,0
66590.40,136,0
-41073.63,160,0
221787.95,183,0
215895.72,208,0
240376.00,240,0
166932.41,28,0
188826.93,96,0
38051.19,154,0
97912.25,228,0
5135.87,197,0
213826.23,119,0
-27173.42,175,0
150160.95,43,0
-46886.97,148,1
154569.61,11,0
210335.79,234,0
239641.14,168,0
208697.48,236,0
142565.98,15,0
218574.40,156,0
123896.38,116,0
249226.44,46,0
197792.51,218,0
153895.33,136,0
63061.53,97,1
62310.69,108,1
179663.68,38,0
234693.41,144,0
89526.78,118,0
214074.97,31,0
177658.88,234,0
-4819.98,105,1
-1066.56,173,0
-35447.84,140,1
169989.95,170,0
203165.79,111,0
229017.95,59,0
61237.16,72,1
8442.72,24,1
64069.14,140,1
201613.75,133,0
228204.87,228,0
-17753.55,54,0
106507.27,36,0
90611.79,120,0
198542.80,111,0
57804.12,185,0
102322.26,120,0
15840.04,110,0
155767.46,171,0
117691.60,72,0
113146.63,105,0
124170.09,43,1
93035.61,161,0
159236.65,104,0
111622.06,39,0
10332.37,84,1
-18906.88,205,0
22323.64,29,1
9495.56,181,1
232188.72,150,0
24070.31,39,0
154390.06,130,0
28140.85,159,0
-42414.64,83,1
-32330.76,76,1
30039.74,10,1
90316.04,127,0
162116.11,53,1
240515.67,27,0
47713.21,60,0
57438.38,49,0
148876.43,95,0
74593.86,182,0
11206.13,200,0
142501.85,14,1
116579.93,219,0
10736.09,81,0
101714.63,184,0
82089.25,159,0
94891.04,180,0
246367.62,76,0
71829.54,229,0
-28753.69,6,0
11628.61,201,0
-42878.15,70,1
17584.84,6,0
156143.41,180,0
92427.38,167,0
155143.44,103,0
73331.68,84,0
101839.69,84,0
225347.64,111,0
146863.89,1,1
-2677.31,153,0
34046.62,65,1
191660.67,194,0
124301.53,218,0
79866.25,99,0
216229.15,77,0
204806.44,165,0
-24833.33,167,0
213065.18,60,0
221213.02,75,0
22261.76,112,0
16265.32,25,1
3204.75,146,0
115161.76,12,0
148088.05,92,1
57970.57,215,0
16096.89,142,0
157294.65,52,0
135030.30,6,0
-32128.20,99,0
28778.74,96,0
225822.46,73,0
-22582.88,122,1
79620.19,60,0
190869.63,70,0
86432.40,188,0
100736.83,43,0
95854.07,46,1
-11545.24,130,1
202298.98,169,0
51441.56,124,0
12573.64,54,0
141222.02,69,0
36757.80,21,0
131095.21,192,0
164165.46,115,0
89197.00,136,0
-8992.82,14,0
27011.79,14,1
-17306.00,16,1
208389.35,190,0
101282.67,136,1
107632.58,92,0
-20985.44,52,1
73966.48,68,0
-12887.13,194,0
210370.74,186,0
85995.40,232,0
28768.39,24,1
214817.04,100,0
35555.51,233,0
100841.77,9,1
90756.68,206,0
77331.52,73,0
-4491.35,133,0
96748.86,97,1
122577.90,63,0
51539.02,121,0
102186.59,69,0
-37025.22,10,1
182379.73,100,0
-19021.44,64,1
-13997.50,151,0
58689.48,228,0
-19540.97,49,1
175412.80,82,0
153867.39,35,0
104168.02,137,0
168380.02,181,0
67639.45,232,0
141252.42,74,0
97697.29,19,1
-34634.17,198,0
186307.41,161,0
115744.51,1,1
153004.04,109,0
45556.37,105,0
213352.37,117,0
7819.24,122,0
81026.29,212,0
97009.69,192,0
-1413.87,78,0
199125.66,222,0
233139.56,128,0
248733.03,214,0
-18835.04,24,1
114450.73,24,1
153139.94,203,0
-2740.67,174,0
-13434.66,229,0
246222.28,152,0
82184.62,205,0
204856.60,138,1
43434.08,108,0
172601.47,176,0
43153.26,127,0
190571.15,213,0
95933.56,139,0
202643.44,163,0
17332.56,203,0
1784.08,221,0
-3790.48,30,1
64655.06,109,0
-49633.57,194,0
40989.68,79,0
139147.55,17,0
194519.86,79,0
88059.70,55,1
208348.98,5,0
85687.45,174,0
233730.96,148,0
-11941.79,54,1
231078.47,192,0
133766.91,192,0
89702.23,27,1
153004.26,27,0
160467.84,98,0
97914.44,186,0
159718.96,92,0
-14085.32,127,0
17068.24,42,1
130008.92,92,0
170919.34,26,0
197533.06,80,0
105069.96,54,0
101362.91,9,1
126413.65,217,0
227441.55,108,0
30176.48,236,0
-6147.73,152,1
174942.36,211,0
221734.40,91,0
41929.14,184,1
85999.84,141,0
46317.24,141,0
84011.21,39,0
215545.76,87,0
157883.77,175,0
96080.37,57,0
117284.28,72,0
229971.79,225,0
29029.77,192,0
177472.95,106,1
5477.61,65,1
-16464.67,82,1
-48530.59,86,1
114226.57,186,0
16566.71,114,1
212162.32,219,0
6626.17,35,1
168041.26,165,0
49522.07,162,1
152783.94,1,1
146330.17,55,0
72616.74,80,0
50905.35,150,0
235415.78,235,0
-35809.83,88,0
112508.86,195,0
129371.55,114,0
168015.95,97,0
229574.92,6,0
-15622.98,46,1
59042.15,138,0
150050.49,226,0
11783.27,48,1
178779.50,45,0
179824.03,134,0
-24122.38,115,1
-24638.79,46,1
-39110.62,155,1
-578.14,237,0
-28994.43,88,0
207261.15,13,0
247706.96,67,0
130905.80,54,0
198486.22,175,0
-16212.62,230,0
98645.13,1,0
200848.43,46,0
-6930.48,106,0
-4830.84,196,1
195919.21,185,0
10015.03,218,0
172630.75,143,0
-26020.68,131,1
101827.38,19,0
154647.11,234,0
-30597.94,67,1
-11011.15,26,1
-4383.77,52,0
119171.53,19,0
212344.61,240,0
112109.10,100,1
175205.89,96,1
199668.23,12,0
-13535.29,123,1
20321.04,57,0
-49427.91,101,1
218996.84,68,0
141563.18,68,0
-47510.97,1,1
154812.95,138,0
109433.38,119,0
32213.17,97,0
55983.55,122,0
74747.29,139,0
117240.95,86,0
-23326.87,105,1
161753.53,121,0
16170.73,123,0
115843.89,76,0
53583.15,150,0
184492.37,60,0
40154.93,54,0
119112.53,49,0
138908.48,89,0
41333.14,197,0
198518.23,43,0
90340.55,87,0
43.90,52,1
79722.84,71,0
166493.49,183,0
140350.90,155,0
120001.29,134,0
218648.36,136,0
159102.57,92,0
-28941.02,120,1
62975.65,232,0
225890.79,93,0
206341.31,212,0
185658.30,207,0
124621.69,228,0
234296.26,199,0
233759.96,52,0
149461.66,53,0
-24167.79,217,0
144071.56,112,0
104220.63,150,0
247502.00,35,0
226752.65,183,0
114055.08,37,1
66540.18,214,0
117994.30,155,0
61340.61,184,0
29745.24,112,0
212269.96,20,0
247453.07,16,0
30818.91,224,0
67369.53,219,0
83790.34,235,0
-40689.81,179,0
167481.67,196,0
122527.15,32,0
165667.59,235,0
60887.25,207,0
124082.62,227,0
175229.14,31,0
87223.24,107,1
147467.66,81,1
63537.14,186,0
225077.87,174,0
123437.00,190,0
19337.16,128,0
129576.01,195,0
-41132.79,40,1
204004.14,179,0
116555.57,112,0
203451.85,18,0
46935.49,107,0
-48946.77,94,0
153050.04,177,0
14074.05,161,1
82415.92,161,0
243862.55,66,0
100001.00,125,0
73699.46,152,0
73695.84,165,1
249210.12,193,0
237054.11,171,0
249148.72,109,0
197120.11,234,0
216736.98,124,0
10187.42,2,1
-9585.46,9,1
86382.68,149,0
159163.66,161,0
154123.21,30,0
-10176.96,161,1
2757.37,134,0
36298.83,5,1
-7012.28,76,1
206996.20,6,0
235429.68,163,0
44668.30,131,0
-37636.31,147,0
-9051.59,24,1
249873.90,114,0
-8494.98,10,1
179099.81,125,0
228088.21,131,0
150879.71,37,1
-47289.73,203,1
45769.73,68,0
-24716.59,108,0
49436.59,154,0
33348.38,16,0
186538.30,193,0
134399.64,35,0
172901.61,156,0
24964.91,212,0
171909.47,67,0
203745.55,82,0
188692.38,103,0
-6839.32,34,1
-16441.13,152,1
72543.16,139,0
236195.01,89,0
191073.60,213,0
-41490.50,117,1
-42226.84,1,1
4935.09,67,1
236059.68,106,0
88103.98,159,0
186442.06,130,0
-41540.84,14,1
-28602.83,169,0
243138.98,14,0
53077.10,99,0
36582.71,152,0
93765.42,13,0
222970.39,199,0
216462.37,230,0
23109.29,85,1
243935.75,133,0
81825.80,112,0
96748.09,51,1
17486.85,184,0
38946.00,66,0
222925.94,197,0
51335.45,227,0
193101.14,9,0
168574.32,35,1
106876.60,2,0
231560.55,102,0
191632.57,144,0
-27423.51,230,0
211848.37,13,0
17677.59,148,0
44240.08,184,1
219193.48,138,0
4487.06,188,0
214590.91,69,0
200176.64,153,0
100407.61,179,0
77552.14,1,1
3454.01,74,1
122114.42,109,0
15395.55,211,1
211648.34,69,1
72061.76,229,0
232559.25,179,0
162183.05,83,0
151740.27,127,0
162688.94,108,0
-37564.45,218,0
127984.79,178,0
86843.04,190,0
64375.70,133,1
190926.44,136,0
120485.95,92,0
184650.47,47,0
212772.20,15,0
-38605.69,94,1
169221.42,96,0
-16068.39,54,1
-7515.13,68,0
117924.22,109,0
57021.50,77,1
75511.19,60,0
76312.83,9,0
200428.44,235,0
217150.25,77,0
143783.22,220,0
126555.99,31,0
133796.45,36,0
227185.76,222,0
-37978.15,218,0
74263.26,34,0
161969.49,81,0
45131.05,154,0
122219.99,213,0
154070.03,138,0
26098.62,199,0
114107.68,132,0
166056.83,199,0
-20272.91,20,1
25392.63,43,1
118751.48,176,0
127441.22,116,0
185926.99,109,0
-39252.67,228,0
-35671.51,213,0
97642.12,216,0
199204.68,24,0
149800.89,218,0
55196.86,70,1
185042.89,7,1
35830.38,12,0
44558.42,68,1
246048.65,132,0
185892.25,203,0
71695.14,45,0
90376.47,85,0
52684.99,76,1
13733.86,74,1
-18684.71,168,1
226420.65,39,0
-47205.88,125,1
99899.82,42,1
140880.13,99,0
145561.87,205,0
77683.67,199,0
-34705.69,24,1
203683.47,166,0
244105.54,201,0
19813.14,90,1
-30981.96,147,1
205449.71,61,0
94176.72,234,0
63956.40,113,0
112818.48,18,0
75935.97,175,0
149694.27,155,0
30564.89,125,0
132231.07,170,0
245825.40,106,0
85956.20,171,0
163399.14,210,0
205314.80,8,1
-6740.92,13,1
121244.86,231,0
101243.03,134,0
169522.38,62,0
13175.97,196,0
39104.94,215,0
224258.36,222,0
61254.61,115,1
111791.53,64,0
224607.30,205,0
90650.68,146,0
68919.40,6,0
18322.00,94,0
-13242.36,183,1
-26357.54,120,0
32929.83,116,1
57614.40,121,0
154903.11,171,0
164983.00,5,0
96727.02,225,0
46240.53,111,0
173929.27,224,0
193404.73,157,0
89924.87,125,0
80192.31,8,0
-38676.90,21,1
-12961.57,13,1
74815.75,121,0
7716.38,5,1
177628.52,41,1
159778.58,190,0
156179.20,28,0
60352.05,116,0
-1866.62,240,0
-1767.78,13,1
205208.26,108,0
244227.53,159,0
-16796.58,230,0
105275.89,195,0
-20086.35,213,0
129972.84,98,1
96605.86,179,0
130924.58,13,0
-38294.42,221,0
-46335.78,185,1
56000.17,146,0
33044.24,192,0
158201.11,90,0
184912.80,141,0
193348.30,138,0
7397.10,199,0
73744.20,19,0
181633.53,197,0
224830.38,199,0
18478.33,92,0
145246.24,132,0
244240.64,32,0
60813.20,53,1
111786.13,224,0
74416.08,34,0
130822.24,26,0
113789.16,124,0
188006.56,46,0
180402.51,129,0
4090.63,26,0
120574.64,146,0
219650.65,159,0
84036.34,130,0
173702.86,199,0
122290.17,85,1
205299.26,210,0
200911.68,4,0
-47114.34,15,1
62865.03,171,0
227434.32,211,0
19520.71,109,1
193841.62,135,0
-36960.85,112,1
-39268.77,18,0
101.20,3,1
50133.62,24,0
25667.73,72,1
130213.68,25,0
237628.27,195,0
222717.36,115,0
-24382.05,27,1
207023.19,132,0
140614.73,11,0
146973.22,69,0
5175.99,188,0
61765.06,45,1
4353.61,49,1
203718.03,110,0
74377.17,72,0
97925.57,17,1
-17463.95,31,1
201756.37,123,0
13196.86,222,0
179248.40,227,0
160935.08,238,0
64156.31,4,1
233231.45,91,0
28230.09,31,1
-46186.72,133,0
120404.28,235,0
235548.14,10,0
4928.60,69,1
238209.55,37,0
197027.92,208,0
21355.22,81,1
24353.20,44,1
175236.94,106,1
173241.06,60,0
184821.61,28,0
-48627.18,136,1
91560.68,219,1
46179.89,149,0
101143.40,218,0
155052.49,42,1
224746.40,14,0
71555.57,117,0
144489.08,178,0
230988.20,21,0
210996.15,128,0
186866.69,2,0
34250.83,83,1
208306.55,183,0
131706.32,139,0
228339.60,52,0
65130.61,160,0
60283.23,212,0
93577.80,117,0
-47328.65,185,0
3394.84,238,0
92624.52,222,0
115759.20,117,0
75537.84,95,0
34989.48,219,0
50891.55,8,1
174150.95,43,1
219548.01,168,0
155853.13,117,0
217058.95,211,0
-41110.36,47,1
3183.71,98,0
140876.39,231,0
-16790.80,152,0
245338.32,168,0
221913.15,99,0
210839.68,233,0
-21348.87,6,1
-35984.14,106,1
81553.79,122,1
34317.50,144,0
153656.72,236,0
227865.26,181,0
79670.15,145,0
117791.62,134,0
225586.56,122,0
45185.07,201,0
129575.89,225,0
4526.29,192,0
-23415.66,193,0
13463.32,224,0
4791.43,61,1
232975.43,87,0
184645.50,92,0
54666.78,110,0
198638.76,25,0
232082.50,117,1
235754.63,206,0
209644.95,237,0
2336.82,52,1
31734.88,233,1
125133.50,113,0
